DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS,RESET
DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS,RESET
DIVIDE_10,IF_ELSE,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,IF_ELSE,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,IF_HP,DIVIDE_10,DIVIDE_10,DIVIDE_10,DIVIDE_4,DIVIDE_4,ADD_TRIGGER,FLY_DOWNWARDS
DIVIDE_10,IF_END,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,IF_END,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_2,DIVIDE_10,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_2,DIVIDE_2,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_2,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
DIVIDE_2,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
DIVIDE_3,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
DIVIDE_4,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
DIVIDE_4,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
DIVIDE_4,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
DIVIDE_4,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS
DIVIDE_4,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS,IF_HP
DIVIDE_4,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_HP
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,BLACK_HOLE#0
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_END
BURST_8,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,TAU
BURST_8,DIVIDE_10,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_2,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_2,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_3,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_3,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
BURST_8,DIVIDE_4,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
BURST_8,DIVIDE_4,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
BURST_8,IF_ELSE,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,IF_ELSE,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,BLACK_HOLE#0,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,BLACK_HOLE#0,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,IF_END,DIVIDE_10,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,IF_END,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,ADD_TRIGGER
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_HP
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,BLACK_HOLE#0
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,IF_END
BURST_8,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,TAU
BURST_8,TAU,TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,DIVIDE_10,DIVIDE_3,FLY_DOWNWARDS
FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,TAU,BLACK_HOLE#0,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_HP
FLY_DOWNWARDS,TAU,DIVIDE_10,TAU,BLACK_HOLE#0,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,IF_HP
IF_HP,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,FLY_DOWNWARDS,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
BLACK_HOLE#0,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
BLACK_HOLE#0,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,FLY_DOWNWARDS
BLACK_HOLE#0,DIVIDE_10,DIVIDE_10,TAU,RESET,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_ELSE
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_HP
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_4,FLY_DOWNWARDS,IF_END
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_ELSE
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_HP
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_10,IF_END
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_2,IF_HP
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3,IF_ELSE
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_3,IF_END
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,IF_ELSE
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,IF_HP
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_2,DIVIDE_2,DIVIDE_3,FLY_DOWNWARDS,DIVIDE_4,IF_END
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_3,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,FLY_DOWNWARDS,FLY_DOWNWARDS
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS,IF_HP,FLY_DOWNWARDS
TAU,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,FLY_DOWNWARDS
