FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET,TAU
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,ADD_TRIGGER,TAU,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_10,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_10,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_2,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_3,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_3,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,DIVIDE_10,DIVIDE_10,DIVIDE_10,RESET
FLY_DOWNWARDS,DIVIDE_4,DIVIDE_2,DIVIDE_4,ADD_TRIGGER,TAU,DIVIDE_10,DIVIDE_10,RESET
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_ELSE
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_HP
TAU,DIVIDE_10,DIVIDE_10,TAU,TAU,DIVIDE_4,DIVIDE_3,FLY_DOWNWARDS,IF_END
TAU,DIVIDE_10,DIVIDE_3,DIVIDE_4,ADD_TRIGGER,TAU,FLY_DOWNWARDS,IF_HP,FLY_DOWNWARDS
